Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
*BA52-005-025, ,GL,50.55,1.54,14.2,,,,,12.3,,,6.79,11.26,,2.11,0.18,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-026, ,GL,51.39,1.57,14.29,,,,,12.38,,,6.97,11.33,,2.1,0.17,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-027, ,GL,51.23,1.59,14.12,,,,,12.4,,,6.58,11.34,,2.13,0.16,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-028, ,GL,51.39,1.6,14.19,,,,,12.42,,,7.06,11.39,,2.13,0.2,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-029, ,GL,51.3,1.58,14.14,,,,,12.28,,,6.81,11.36,,2.06,0.18,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-030-VG2229, ,GL,51.29,1.52,14.39,,,,,12.37,,,7.22,11.45,,2.08,0.16,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-030-VG2230, ,GL,50.77,1.61,14.32,,,,,12.29,,,7.05,11.13,,2.17,0.17,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-030-VG2231, ,GL,50.85,1.61,14.26,,,,,12.41,,,6.82,11.19,,2.15,0.17,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-033, ,GL,50.57,1.64,13.96,,,,,12.31,,,7.05,11.26,,2.15,0.17,0.19,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-034, ,GL,50.27,1.64,14.14,,,,,12.37,,,6.65,11.06,,2.25,0.19,0.19,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-035, ,GL,50.56,1.63,14.34,,,,,12.35,,,6.6,11.23,,2.14,0.18,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-036, ,GL,50.26,1.62,14.28,,,,,12.28,,,6.54,11.11,,2.18,0.14,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-037, ,GL,50.11,1.62,14.14,,,,,12.34,,,6.49,11.31,,2.18,0.19,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-038, ,GL,50.9,1.61,14.18,,,,,12.41,,,6.57,11.32,,2.17,0.18,0.17,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-039, ,GL,50.27,1.52,14,,,,,12.39,,,6.55,11.28,,2.2,0.17,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-040, ,GL,50.95,1.55,13.81,,,,,12.49,,,6.72,11.25,,2.15,0.17,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-041, ,GL,50.19,1.45,14.27,,,,,12.21,,,6.68,11.45,,2.15,0.16,0.19,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-042, ,GL,50.33,1.54,13.81,,,,,12.36,,,6.37,11.5,,2.18,0.18,0.2,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-043, ,GL,50.61,1.49,13.85,,,,,12.36,,,6.79,11.58,,2.15,0.18,0.19,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-044, ,GL,50.89,1.6,14.18,,,,,12.47,,,6.65,11.51,,2.12,0.21,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-045, ,GL,50.55,1.54,14.03,,,,,12.49,,,6.77,11.57,,2.17,0.2,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-046, ,GL,50.78,1.64,14.04,,,,,12.38,,,6.88,11.56,,2.21,0.17,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-047, ,GL,50.09,1.56,13.85,,,,,12.42,,,6.7,11.42,,2.21,0.17,0.2,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-048, ,GL,50.55,1.58,14.03,,,,,12.23,,,6.66,11.44,,2.17,0.21,0.24,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-049, ,GL,49.41,1.54,14.39,,,,,12.3,,,6.65,11.28,,2.09,0.17,0.15,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-050, ,GL,49.94,1.46,14.22,,,,,12.02,,,6.48,11.26,,2.11,0.16,0.21,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-051, ,GL,50.64,1.59,14.68,,,,,12.48,,,6.84,11.41,,2.14,0.17,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-051, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,12.41,1739,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","JENNER, 2012",LA-ICPMS,UNKNOWN , 
*BA52-005-052, ,GL,50.74,1.58,14.54,,,,,12.36,,,7.02,11.36,,2.1,0.15,0.22,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-052, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,12.43,1744,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","JENNER, 2012",LA-ICPMS,UNKNOWN , 
